"Census Profile, 2021 Census of Population"
,,,"British Columbia [Province]",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,5000879,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,4648055,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    7.6,"",,"...",,"...",    7.6,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2,2211694,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3,2041834,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",,    5.4,"",,"...",,"...",    5.4,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,920686.55,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,5000880,"",2457515,"",2543365,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,716900,"",369250,"",347650,"",   14.3,"",   15.0,"",   13.7,"",
"Age characteristics","    0 to 4 years",,216825,"",111015,"",105805,"",    4.3,"",    4.5,"",    4.2,"",
"Age characteristics","    5 to 9 years",,244290,"",125810,"",118485,"",    4.9,"",    5.1,"",    4.7,"",
"Age characteristics","    10 to 14 years",,255790,"",132425,"",123365,"",    5.1,"",    5.4,"",    4.9,"",
"Age characteristics","  15 to 64 years",,3267620,"",1614625,"",1652995,"",   65.3,"",   65.7,"",   65.0,"",
"Age characteristics","    15 to 19 years",,253690,"",131245,"",122445,"",    5.1,"",    5.3,"",    4.8,"",
"Age characteristics","    20 to 24 years",,294650,"",151505,"",143145,"",    5.9,"",    6.2,"",    5.6,"",
"Age characteristics","    25 to 29 years",,337090,"",170500,"",166585,"",    6.7,"",    6.9,"",    6.5,"",
"Age characteristics","    30 to 34 years",,358585,"",178925,"",179660,"",    7.2,"",    7.3,"",    7.1,"",
"Age characteristics","    35 to 39 years",,353350,"",175175,"",178175,"",    7.1,"",    7.1,"",    7.0,"",
"Age characteristics","    40 to 44 years",,319740,"",156480,"",163260,"",    6.4,"",    6.4,"",    6.4,"",
"Age characteristics","    45 to 49 years",,310035,"",149520,"",160515,"",    6.2,"",    6.1,"",    6.3,"",
"Age characteristics","    50 to 54 years",,329005,"",158540,"",170460,"",    6.6,"",    6.5,"",    6.7,"",
"Age characteristics","    55 to 59 years",,356345,"",172520,"",183825,"",    7.1,"",    7.0,"",    7.2,"",
"Age characteristics","    60 to 64 years",,355130,"",170210,"",184920,"",    7.1,"",    6.9,"",    7.3,"",
"Age characteristics","  65 years and over",,1016365,"",473640,"",542720,"",   20.3,"",   19.3,"",   21.3,"",
"Age characteristics","    65 to 69 years",,319405,"",152705,"",166700,"",    6.4,"",    6.2,"",    6.6,"",
"Age characteristics","    70 to 74 years",,272365,"",130370,"",141995,"",    5.4,"",    5.3,"",    5.6,"",
"Age characteristics","    75 to 79 years",,181075,"", 86060,"", 95015,"",    3.6,"",    3.5,"",    3.7,"",
"Age characteristics","    80 to 84 years",,121055,"", 55285,"", 65780,"",    2.4,"",    2.2,"",    2.6,"",
"Age characteristics","    85 years and over",,122465,"", 49225,"", 73235,"",    2.4,"",    2.0,"",    2.9,"",
"Age characteristics","      85 to 89 years",, 74315,"", 32315,"", 42005,"",    1.5,"",    1.3,"",    1.7,"",
"Age characteristics","      90 to 94 years",, 36840,"", 13715,"", 23120,"",    0.7,"",    0.6,"",    0.9,"",
"Age characteristics","      95 to 99 years",,  9790,"",  2865,"",  6925,"",    0.2,"",    0.1,"",    0.3,"",
"Age characteristics","      100 years and over",,  1515,"",   330,"",  1185,"",    0.0,"",    0.0,"",    0.0,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   14.3,"",   15.0,"",   13.7,"",   14.3,"",   15.0,"",   13.7,"",
"Age characteristics","  15 to 64 years",,   65.3,"",   65.7,"",   65.0,"",   65.3,"",   65.7,"",   65.0,"",
"Age characteristics","  65 years and over",,   20.3,"",   19.3,"",   21.3,"",   20.3,"",   19.3,"",   21.3,"",
"Age characteristics","    85 years and over",,    2.4,"",    2.0,"",    2.9,"",    2.4,"",    2.0,"",    2.9,"",
"Age characteristics","Average age of the population",,   43.1,"",   42.2,"",   43.9,"",   43.1,"",   42.2,"",   43.9,"",
"Age characteristics","Median age of the population",,   42.8,"",   41.6,"",   44.0,"",   42.8,"",   41.6,"",   44.0,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",,2041835,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",,866340,"",,"...",,"...",   42.4,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",, 62890,"",,"...",,"...",    3.1,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,168590,"",,"...",,"...",    8.3,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,249835,"",,"...",,"...",   12.2,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,417475,"",,"...",,"...",   20.4,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,221845,"",,"...",,"...",   10.9,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,  3760,"",,"...",,"...",    0.2,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4, 51100,"",,"...",,"...",    2.5,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",,2041835,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",,600705,"",,"...",,"...",   29.4,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",,719865,"",,"...",,"...",   35.3,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,296200,"",,"...",,"...",   14.5,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,256700,"",,"...",,"...",   12.6,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,168355,"",,"...",,"...",    8.2,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,4915945,"",2416800,"",2499140,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.4,"",,"...",,"...",    2.4,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,4283980,"",2088265,"",2195715,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",,2464130,"",1229850,"",1234280,"",   57.5,"",   58.9,"",   56.2,"",
"Marital status","    Married",,2036165,"",1015165,"",1021000,"",   47.5,"",   48.6,"",   46.5,"",
"Marital status","    Living common-law",,427970,"",214680,"",213285,"",   10.0,"",   10.3,"",    9.7,"",
"Marital status","      Living common law - Never married",,313560,"",158045,"",155515,"",    7.3,"",    7.6,"",    7.1,"",
"Marital status","      Living common law - Separated",, 17220,"",  8940,"",  8285,"",    0.4,"",    0.4,"",    0.4,"",
"Marital status","      Living common law - Divorced",, 87370,"", 43700,"", 43670,"",    2.0,"",    2.1,"",    2.0,"",
"Marital status","      Living common law - Widowed",,  9815,"",  3995,"",  5820,"",    0.2,"",    0.2,"",    0.3,"",
"Marital status","  Not married and not living common-law",,1819845,"",858415,"",961435,"",   42.5,"",   41.1,"",   43.8,"",
"Marital status","    Not married and not living common law - Never married",,1202625,"",653345,"",549280,"",   28.1,"",   31.3,"",   25.0,"",
"Marital status","    Not married and not living common law - Separated",,110710,"", 47290,"", 63420,"",    2.6,"",    2.3,"",    2.9,"",
"Marital status","    Not married and not living common law - Divorced",,283035,"",109615,"",173420,"",    6.6,"",    5.2,"",    7.9,"",
"Marital status","    Not married and not living common law - Widowed",,223475,"", 48165,"",175310,"",    5.2,"",    2.3,"",    8.0,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5,1399405,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",,763875,"",,"...",,"...",   54.6,"",,"...",,"...",
"Family characteristics","  3 persons",,290335,"",,"...",,"...",   20.7,"",,"...",,"...",
"Family characteristics","  4 persons",,255295,"",,"...",,"...",   18.2,"",,"...",,"...",
"Family characteristics","  5 or more persons",, 89900,"",,"...",,"...",    6.4,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.8,"",,"...",,"...",    2.8,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",,1399405,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",,1190930,"",,"...",,"...",   85.1,"",,"...",,"...",
"Family characteristics","    Married couples",,977010,"",,"...",,"...",   69.8,"",,"...",,"...",
"Family characteristics","      With children",6,496240,"",,"...",,"...",   35.5,"",,"...",,"...",
"Family characteristics","      Without children",,480770,"",,"...",,"...",   34.4,"",,"...",,"...",
"Family characteristics","    Common-law couples",,213925,"",,"...",,"...",   15.3,"",,"...",,"...",
"Family characteristics","      With children",6, 64570,"",,"...",,"...",    4.6,"",,"...",,"...",
"Family characteristics","      Without children",,149355,"",,"...",,"...",   10.7,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,208475,"",,"...",,"...",   14.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,161820,"",,"...",,"...",   11.6,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",, 46655,"",,"...",,"...",    3.3,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,4915945,"",2416800,"",2499140,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",,3897915,"",1933790,"",1964120,"",   79.3,"",   80.0,"",   78.6,"",
"Family characteristics","    Married spouses or common-law partners",,2381865,"",1191345,"",1190515,"",   48.5,"",   49.3,"",   47.6,"",
"Family characteristics","    Parents in one-parent families",,208475,"", 46660,"",161820,"",    4.2,"",    1.9,"",    6.5,"",
"Family characteristics","    Children",6,1307575,"",695790,"",611785,"",   26.6,"",   28.8,"",   24.5,"",
"Family characteristics","      In a two-parent family",,1001235,"",529410,"",471830,"",   20.4,"",   21.9,"",   18.9,"",
"Family characteristics","      In a one-parent family",,306340,"",166380,"",139960,"",    6.2,"",    6.9,"",    5.6,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",,1018030,"",483010,"",535015,"",   20.7,"",   20.0,"",   21.4,"",
"Family characteristics","    Living alone",,600705,"",273740,"",326960,"",   12.2,"",   11.3,"",   13.1,"",
"Family characteristics","    Living with other relatives",7,139900,"", 56735,"", 83160,"",    2.8,"",    2.3,"",    3.3,"",
"Family characteristics","    Living with non-relatives only",,277425,"",152535,"",124890,"",    5.6,"",    6.3,"",    5.0,"",
"Household type","Total - Household type - 100% data",,2041830,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",,1157520,"",,"...",,"...",   56.7,"",,"...",,"...",
"Household type","    Couple-family households",,1002775,"",,"...",,"...",   49.1,"",,"...",,"...",
"Household type","      With children",6,463945,"",,"...",,"...",   22.7,"",,"...",,"...",
"Household type","      Without children",,538825,"",,"...",,"...",   26.4,"",,"...",,"...",
"Household type","    One-parent-family households",,154745,"",,"...",,"...",    7.6,"",,"...",,"...",
"Household type","  Multigenerational households",8, 75700,"",,"...",,"...",    3.7,"",,"...",,"...",
"Household type","  Multiple-census-family households",9, 20325,"",,"...",,"...",    1.0,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9, 79015,"",,"...",,"...",    3.9,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,108570,"",,"...",,"...",    5.3,"",,"...",,"...",
"Household type","  One-person households",,600705,"",,"...",,"...",   29.4,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,4200500,"",2048300,"",2152200,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,4076345,"",1987855,"",2088490,"",   97.0,"",   97.0,"",   97.0,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 40800,"", 47200,"", 36000,"", 40800,"", 47200,"", 36000,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,4078810,"",1989180,"",2089630,"",   97.1,"",   97.1,"",   97.1,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 37200,"", 42400,"", 33600,"", 37200,"", 42400,"", 33600,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,3655710,"",1808310,"",1847405,"",   87.0,"",   88.3,"",   85.8,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 35200,"", 43600,"", 28400,"", 35200,"", 43600,"", 28400,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,2886365,"",1471335,"",1415030,"",   68.7,"",   71.8,"",   65.7,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 38000,"", 46000,"", 31200,"", 38000,"", 46000,"", 31200,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,3377800,"",1555875,"",1821925,"",   80.4,"",   76.0,"",   84.7,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",, 10000,"",  9100,"", 10600,"", 10000,"",  9100,"", 10600,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,370345,"",168520,"",201825,"",    8.8,"",    8.2,"",    9.4,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5480,"",  5520,"",  5480,"",  5480,"",  5520,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",,1106935,"",526910,"",580025,"",   26.4,"",   25.7,"",   27.0,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8000,"",  8000,"",  8000,"",  8000,"",  8000,"",  8000,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,4200425,"",2048395,"",2152030,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,4075270,"",1987400,"",2087875,"",   97.0,"",   97.0,"",   97.0,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 54450,"", 63500,"", 45800,"", 54450,"", 63500,"", 45800,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,4077810,"",1988785,"",2089025,"",   97.1,"",   97.1,"",   97.1,"",
