"Environmental and Clean Technology Products Economic Account, employment and compensation per products category c 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 36-10-0681-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

"Geography","British Columbia",,,,,,,,,,,
"Economic variable","Employment",,,,,,,,,,,
"Goods and services (products)","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Jobs",,,,,,,,,,,
"Total, environmental and clean technology products","35,648","33,253","33,974","34,656","32,960","35,899","39,251","42,610","39,021","44,323","46,953p","49,150p"
"Total, environmental products","15,750","14,178","14,423","14,752","13,783","13,872","16,015","14,349","13,738","15,366","15,116p","16,248p"
"Environmental goods 7","..","..","..","..","..","..","..","..","..","..","..",".."
"Environmental services 8","..","..","..","..","..","..","..","..","..","..","..",".."
"Total, clean technology products","19,898","19,075","19,551","19,904","19,177","22,027","23,236","28,261","25,283","28,957","31,837p","32,902p"
"Clean technology goods 9","..","..","..","..","..","..","..","..","..","..","..",".."
"Clean technology services 10","..","..","..","..","..","..","..","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period
p, preliminary


"Table Corrections:"
Date,Note
"2023-03-02","On March 3rd, 2023, the described unit of measure for Average annual compensation of employees was corrected and changed to dollars. Previously, the unit of measure was mentioned as jobs in the table."



Footnotes:
1,"Job estimates reported per industry are available in table 36-10-0632-01."
2,"Does not include self-employment."
3,"This account provides estimates on environmental and clean technology goods and services. Examples of those goods and services are listed in the technical reference guide available <a href="https://www150.statcan.gc.ca/n1/pub/16-511-x/16-511-x2024001-eng.htm" rel="external noopener noreferrer" target="_blank">here (opens new window)</a>."
4,"Totals may not add due to rounding. Not all members add up to total."
5,"Source: Statistics Canada, Environment Accounts and Statistics Division, National Economic Accounts Division."
6,"This table uses the product classification of the Supply-Use tables. The Supply-Use tables are built around three classification systems: the Input-Output Industry Classification (IOIC), the Supply-Use Product Classification (SUPC) and the Input-Output Final Demand Classification (IOFDC). The Supply-Use Product Classification (SUPC) is based on the North American Product Classification System (NAPCS)."
7,"Includes clean electricity (from nuclear and renewable sources), biofuels, waste and scrap goods, and primary goods."
8,"Includes waste management and remediation services."
9,"Includes manufactured goods."
10,"Includes scientific, construction and support services."



"How to cite: Statistics Canada. Table 36-10-0681-01  Environmental and Clean Technology Products Economic Account, employment and compensation per products category"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610068101
