"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","British Columbia",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,,"Dollars",,,,,,,,,,,
"Output","Total, all industries  (x 1,000,000)","12,435","12,282","13,101","14,136","14,518","15,814","16,917","18,143","17,935","19,674","21,814p","21,782p"
,"Agriculture, forestry, fishing, and hunting 5  (x 1,000,000)","..","..","..","..","..","..","..","493","320","338","662p","651p"
,"Forestry and logging  [BS113]  (x 1,000,000)","..","..","..","..","..","..","..","74","53","49","71p","51p"
,"Support activities for forestry  [BS115300]  (x 1,000,000)","..","..","..","..","..","..","..","408","236","268","567p","577p"
,"Mining, quarrying, and oil and gas extraction  [BS210]  (x 1,000,000)","..","..","..","..","..","..","..","56","64","78","87p","82p"
,"Oil and gas extraction  [BS21100]  (x 1,000,000)","..","..","..","..","..","..","..","10","8","8","12p","7p"
,"Mining and quarrying   [BS213]  (x 1,000,000)","..","..","..","..","..","..","..","3","6","5","5p","6p"
,"Support activities for oil and gas extraction  [BS21311A]  (x 1,000,000)","..","..","..","..","..","..","..","13","11","13","17p","18p"
,"Support activities for mining  [BS21311B]  (x 1,000,000)","..","..","..","..","..","..","..","31","39","52","53p","52p"
,"Utilities  [BS220]  (x 1,000,000)","3,581","3,709","3,822","4,142","4,301","4,499","4,605","4,602","4,700","5,276","5,511p","4,984p"
,"Electricity power generation, transmission and distribution  [BS221100]  (x 1,000,000)","3,556","3,681","3,794","4,110","4,274","4,459","4,558","4,554","4,648","5,207","5,438p","4,905p"
,"Construction 6  (x 1,000,000)","..","..","..","..","..","..","..","5,555","5,577","5,722","6,322p","6,829p"
,"Engineering construction  [BS23C]  (x 1,000,000)","3,405","3,073","2,993","3,000","3,038","3,073","3,700","4,758","4,785","4,811","5,302p","5,792p"
,"Electric power engineering  [BS23C300]  (x 1,000,000)","2,353","2,152","1,796","2,299","2,290","2,199","2,474","3,125","3,227","3,610","4,065p","4,289p"
,"Manufacturing  [BS3A0]  (x 1,000,000)","1,408","1,482","1,894","2,019","2,166","2,499","2,449","2,237","2,314","2,378","2,356p","2,060p"
,"Wood product manufacturing  [BS321]  (x 1,000,000)","..","..","..","..","..","..","..","1,281","1,163","1,354","1,245p","898p"
,"Paper manufacturing  [BS322] 7  (x 1,000,000)","..","..","..","..","..","..","..","92","145","151","170p","128p"
,"Non-metallic mineral product manufacturing  [BS327] 8  (x 1,000,000)","..","..","..","..","..","..","..","46","143","135","147p","141p"
,"Primary metal manufacturing  [BS331]  (x 1,000,000)","..","..","..","..","..","..","..","101","109","89","75p","118p"
,"Fabricated metal product manufacturing  [BS332]  (x 1,000,000)","..","..","..","..","..","..","..","145","147","158","122p","127p"
,"Electric equipment manufacturing  [BS335300]  (x 1,000,000)","24","46","44","29","63","32","19","27","71","64","73p","97p"
,"Wholesale, Retail trade and other services 9  (x 1,000,000)","..","..","..","..","..","..","..","5,200","4,959","5,883","6,876p","7,176p"
,"Wholesale, retail, and transportation and warehousing services 10  (x 1,000,000)","..","..","..","..","..","..","..","38","55","87","93p","94p"
,"Professional, scientific and technical services  [BS540]  (x 1,000,000)","644","698","826","987","822","1,281","1,345","1,164","975","1,387","1,768p","1,876p"
,"Administrative and support, waste management and remediation services  [BS560]  (x 1,000,000)","930","912","984","1,242","1,364","1,403","1,581","1,621","1,581","1,734","1,856p","1,729p"
,"Waste management and remediation services  [BS562000]  (x 1,000,000)","905","888","945","1,213","1,333","1,362","1,526","1,583","1,512","1,651","1,769p","1,623p"
