"Title","Canadian total exports"
"Industries","Listing of top 25 industries (5-digit naics codes)"
"Origin","Canada"
"Destination","All countries (total)"
"Period","Specific year(s): 2024"
"Units","Value in millions of U.S. dollars"

"","2024"
"21111 - Oil and gas extraction (except oil sands)","113754.124"
"33611 - Automobile and light-duty motor vehicle manufacturing","33971.337"
"21222 - Gold and silver ore mining","28425.221"
"32411 - Petroleum refineries","21256.871"
"33641 - Aerospace product and parts manufacturing","15729.506"
"32541 - Pharmaceutical and medicine manufacturing","12175.903"
"33131 - Alumina and aluminum production and processing","10263.106"
"31161 - Animal slaughtering and processing","8837.996"
"33141 - Non-ferrous metal (except aluminum) smelting and refining","8582.196"
"11114 - Wheat farming","7555.815"
"21239 - Other non-metallic mineral mining and quarrying","7511.507"
"31122 - Starch and vegetable fat and oil manufacturing","7273.886"
"21211 - Coal mining","7059.239"
"32111 - Sawmills and wood preservation","6985.526"
"33111 - Iron and steel mills and ferro-alloy manufacturing","6898.772"
"32521 - Resin and synthetic rubber manufacturing","6821.891"
"33361 - Engine, turbine and power transmission equipment manufacturing","6659.191"
"21221 - Iron ore mining","6399.686"
"32518 - Other basic inorganic chemical manufacturing","6099.228"
"32619 - Other plastic product manufacturing","5870.649"
"33451 - Navigational, measuring, medical and control instruments manufacturing","5736.611"
"32211 - Pulp mills","5468.01"
"33531 - Electrical equipment manufacturing","5385.549"
"11112 - Oilseed (except soybean) farming","4732.76"
"32121 - Veneer, plywood and engineered wood product manufacturing","4441.724"
"Sub-total","353896.305"
"Others","215934.085"
"Total (All Industries)","569830.389"

"Source: Trade Data Online (accessed: November 06, 2025)"



