"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,,"Dollars",,,,,,,,,,,
"Output","Total, all industries  (x 1,000,000)","82,206","89,212","96,263","106,145","108,422","111,105","115,695","119,669","118,305","129,805","141,444p","144,602p"
,"Agriculture, forestry, fishing, and hunting 5  (x 1,000,000)","..","..","..","..","..","..","..","1,382","1,451","1,540","1,888p","1,779p"
,"Forestry and logging  [BS113]  (x 1,000,000)","..","..","..","..","..","..","..","560","514","529","580p","475p"
,"Support activities for forestry  [BS115300]  (x 1,000,000)","..","..","..","..","..","..","..","652","710","769","988p","1,007p"
,"Mining, quarrying, and oil and gas extraction  [BS210]  (x 1,000,000)","..","..","..","..","..","..","..","720","595","693","961p","1,060p"
,"Oil and gas extraction  [BS21100]  (x 1,000,000)","..","..","..","..","..","..","..","124","94","109","166p","139p"
,"Mining and quarrying   [BS213]  (x 1,000,000)","..","..","..","..","..","..","..","33","34","38","68p","112p"
,"Support activities for oil and gas extraction  [BS21311A]  (x 1,000,000)","..","..","..","..","..","..","..","409","308","338","500p","590p"
,"Support activities for mining  [BS21311B]  (x 1,000,000)","..","..","..","..","..","..","..","154","159","208","227p","220p"
,"Utilities  [BS220]  (x 1,000,000)","27,491","29,482","31,751","33,328","34,668","35,135","35,851","36,573","36,658","37,330","40,857p","41,098p"
,"Electricity power generation, transmission and distribution  [BS221100]  (x 1,000,000)","27,304","29,294","31,557","33,125","34,455","34,891","35,574","36,287","36,367","37,008","40,521p","40,738p"
,"Construction 6  (x 1,000,000)","..","..","..","..","..","..","..","27,749","27,626","29,284","31,642p","34,146p"
,"Engineering construction  [BS23C]  (x 1,000,000)","18,528","20,170","21,816","24,179","23,029","20,855","20,228","22,419","22,172","22,920","24,418p","26,788p"
,"Electric power engineering  [BS23C300]  (x 1,000,000)","12,261","14,495","14,881","14,902","15,621","14,114","13,670","15,247","14,655","16,358","17,553p","18,644p"
,"Manufacturing  [BS3A0]  (x 1,000,000)","8,596","10,455","11,379","13,361","14,120","15,408","17,509","16,623","16,647","21,476","22,605p","22,297p"
,"Wood product manufacturing  [BS321]  (x 1,000,000)","..","..","..","..","..","..","..","3,100","2,752","3,104","2,852p","2,078p"
,"Paper manufacturing  [BS322] 7  (x 1,000,000)","..","..","..","..","..","..","..","308","354","389","429p","363p"
,"Non-metallic mineral product manufacturing  [BS327] 8  (x 1,000,000)","..","..","..","..","..","..","..","448","606","684","795p","731p"
,"Primary metal manufacturing  [BS331]  (x 1,000,000)","..","..","..","..","..","..","..","859","808","1,275","1,301p","1,310p"
,"Fabricated metal product manufacturing  [BS332]  (x 1,000,000)","..","..","..","..","..","..","..","1,293","1,259","1,739","1,917p","1,869p"
,"Electric equipment manufacturing  [BS335300]  (x 1,000,000)","1,390","1,670","1,436","1,612","1,727","1,645","1,616","1,522","1,432","1,613","1,934p","2,266p"
,"Wholesale, Retail trade and other services 9  (x 1,000,000)","..","..","..","..","..","..","..","36,623","35,329","39,483","43,491p","44,221p"
,"Wholesale, retail, and transportation and warehousing services 10  (x 1,000,000)","..","..","..","..","..","..","..","596","754","931","1,026p","1,074p"
,"Professional, scientific and technical services  [BS540]  (x 1,000,000)","4,827","4,859","5,805","6,987","7,209","8,592","9,354","9,468","8,357","9,904","11,386p","12,029p"
,"Administrative and support, waste management and remediation services  [BS560]  (x 1,000,000)","7,088","7,671","8,264","10,058","10,914","11,502","12,335","12,849","12,308","13,750","14,333p","13,327p"
,"Waste management and remediation services  [BS562000]  (x 1,000,000)","6,873","7,462","7,987","9,791","10,641","11,248","12,045","12,593","11,751","13,083","13,666p","12,534p"
,"Government services 11  (x 1,000,000)","..","..","..","..","..","..","..","13,229","13,220","14,119","15,805p","16,627p"
,"Other industries (Terminated) 12  (x 1,000,000)","15,676t","16,576t","17,248t","18,232t","18,482t","19,612t","20,418t","..t","..t","..t","..t","..t"
"Gross domestic product","Total, all industries  (x 1,000,000)","50,757","54,791","58,264","62,357","64,356","64,951","66,764","68,831","67,826","73,208","80,222p","80,827p"
,"Agriculture, forestry, fishing, and hunting 5  (x 1,000,000)","..","..","..","..","..","..","..","610","656","718","827p","751p"
,"Forestry and logging  [BS113]  (x 1,000,000)","..","..","..","..","..","..","..","196","179","205","227p","166p"
,"Support activities for forestry  [BS115300]  (x 1,000,000)","..","..","..","..","..","..","..","331","355","388","439p","438p"
,"Mining, quarrying, and oil and gas extraction  [BS210]  (x 1,000,000)","..","..","..","..","..","..","..","460","366","452","637p","677p"
,"Oil and gas extraction  [BS21100]  (x 1,000,000)","..","..","..","..","..","..","..","68","43","71","108p","85p"
,"Mining and quarrying   [BS213]  (x 1,000,000)","..","..","..","..","..","..","..","20","20","24","46p","65p"
