"Geography 4 5","August 2024","September 2024","October 2024","November 2024","December 2024"
"Canada","6.8","6.8","6.5","6.1","6.2"
"Newfoundland and Labrador","8.7","8.8","9.0","9.2","9.9"
"Avalon Peninsula, Newfoundland and Labrador","7.3","6.9","6.9","7.2","7.9"
"South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay, Newfoundland and Labrador","10.4","11.8","12.8","12.9","13.3"
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador","10.9","10.9","10.9","11.1","12.0"
"Prince Edward Island","7.0","6.7","6.7","7.3","8.8"
"Nova Scotia","6.9","6.8","6.3","5.8","5.9"
"Cape Breton, Nova Scotia","9.2","8.8","8.5","8.7","9.3"
"North Shore, Nova Scotia","5.3","6.0","6.7","6.0","6.9"
"Annapolis Valley, Nova Scotia","6.2","6.9","6.7","6.2","6.0"
"Southern, Nova Scotia","11.2","11.1","8.2","8.1","7.3"
"Halifax, Nova Scotia","6.1","5.7","5.4","4.7","4.6"
"New Brunswick","6.6","6.4","5.9","5.9","6.7"
"Campbellton-Miramichi, New Brunswick","8.6","9.9","9.6","10.0","10.5"
"Moncton-Richibucto, New Brunswick","5.7","5.1","4.5","4.6","5.5"
"Saint John-St. Stephen, New Brunswick","7.3","6.4","5.5","5.6","6.5"
"Fredericton-Oromocto, New Brunswick","6.5","6.4","5.7","5.3","6.4"
"Edmundston-Woodstock, New Brunswick","4.8","5.2","5.3","4.9","5.5"
"Quebec","5.9","5.6","5.4","5.2","5.3"
"Gaspésie-Îles-de-la-Madeleine, Quebec","4.5","4.3","5.3","7.4","11.0"
"Bas-Saint-Laurent, Quebec","3.1","3.5","3.0","4.2","4.7"
"Capitale-Nationale, Quebec","4.1","4.4","4.1","4.2","4.5"
"Chaudière-Appalaches, Quebec","2.7","2.5","2.4","2.3","2.6"
"Estrie, Quebec","4.9","4.8","4.2","3.5","3.5"
"Centre-du-Québec, Quebec","3.8","3.7","4.2","4.3","5.0"
"Montérégie, Quebec","5.2","4.7","4.4","4.3","4.5"
"Montréal, Quebec","8.4","8.0","8.4","8.1","8.1"
"Laval, Quebec","7.2","6.8","5.9","4.9","5.0"
"Lanaudière, Quebec","8.2","7.7","5.6","4.5","4.1"
"Laurentides, Quebec","4.3","4.4","3.8","3.3","3.6"
"Outaouais, Quebec","6.8","6.8","6.3","5.5","5.4"
"Abitibi-Témiscamingue, Quebec","3.4","4.0","4.0","3.7","3.1"
"Mauricie, Quebec","3.7","4.3","4.8","5.3","5.4"
"Saguenay-Lac-Saint-Jean, Quebec","3.2","2.9","3.1","2.8","3.6"
"Côte-Nord and Nord-du-Québec, Quebec","3.9","3.3","3.0","3.0","3.8"
"Ontario","7.6","7.5","7.2","6.8","6.8"
"Ottawa, Ontario","6.7","6.5","6.2","5.6","5.3"
"Kingston-Pembroke, Ontario","6.5","6.0","5.1","4.9","5.4"
"Muskoka-Kawarthas, Ontario","3.8","3.6","2.6","3.0","3.9"
"Toronto, Ontario","8.6","8.6","8.2","7.8","7.8"
"Kitchener-Waterloo-Barrie, Ontario","6.4","6.7","7.0","6.9","7.1"
"Hamilton-Niagara Peninsula, Ontario","6.9","6.5","5.9","5.8","5.9"
"London, Ontario","7.5","7.2","6.5","5.7","5.7"
"Windsor-Sarnia, Ontario","8.4","8.3","8.0","7.5","7.8"
